objectid,filename,title,type,format,youtubeid,datepicturetaken,date,creator,description,subject,for,event,fabric,skirtlength,sleevelength,color,pattern,complete,dimensions
houndstoothpinaforesandwhitepuffshoulderblouses,houndstoothpinaforesandwhitepuffshoulderblouses.jpg,twentyeight,Child's Dress,image/jpeg,,2022-11-08,2001,Abigail Suddarth,"Matching houndstooth pinafore with off-center, front-closing buttons, red roses along the closures, and a dropped waists wore over matching white bouses with puffed shoulders.",Children's; Pinafore; Blouse; Puffed Sleeves; Houndstooth; Roses; Red; Black; White; Dropped Waist; Off-Center Buttons,Grandchildren of Ruth Kramer,,,Calf,Long,Black and White,Houndstooth,Yes,"25"" and 30"""
lighthousebag,lighthousebag.jpg,twentynine,Bag,image/jpeg,,2022-11-08,,Abigail Suddarth,"Blue, cylinder-shaped bag with a picture of a lighthouse sewn into the front and a blue, shoulder medium-length strap.",Bag; Cylinder; Blue; Lighthouse,Ruth Kramer,,,,,Navy Blue,Solid,Yes,
pinkfloraldresspurse,pinkfloraldresspurse.jpg,thirty,Child's Dress,image/jpeg,,2022-11-08,2001,Abigail Suddarth,"5"" wide and 6"" long, semi-circle, pink, floral purse with button closure and buttons to attach to matching dress.",Children's; Purse; Floral; Pink; Matching; Detachable; Attachable,Abigail Suddarth,,,,,Pink,Floral,Yes,"5"" by 6"""
pinkfloraldresswithmatchingpurse,pinkfloraldresswithmatchingpurse.jpg,thirtyone,Child's Dress,image/jpeg,,2022-11-08,2001,Abigail Suddarth,"Sleeveless, pink, floral dress with full skirt and attachable, matching purse.",Children's; Sleeveless; Dress; Pink; Floral; Purse; Detachable; Attachable; Full Skirt; Knee-Length; Matching,Abigail Suddarth,,,Knee,Sleeveless,Pink,Floral,Yes,"29"""
purpleginghamdresslarger,purpleginghamdresslarger.jpg,thirtytwo,Child's Dress,image/jpeg,,2022-11-08,2002,Abigail Suddarth,"Short-sleeved, purple gingham dress with full skirt, light green, gingham trim, and 3D flower designs.  The larger of the two dresses.  Front of dress.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length,Grandchildren of Ruth Kramer,,,Knee,Shoulder,Purple,Gingham,Yes,"33"""
purpleginghamdresslargerback,purpleginghamdresslargerback.jpg,thirtythree,Child's Dress,image/jpeg,,2022-11-08,2002,Abigail Suddarth,"Short-sleeved, purple gingham dress with full skirt, light green, gingham trim, and 3D flower designs.  The larger of the two dresses.  Back of dress.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length,Grandchildren of Ruth Kramer,,,Knee,Shoulder,Purple,Gingham,Yes,"33"""
purpleginghamdresses,purpleginghamdresses.jpg,thirtyfour,Child's Dress,image/jpeg,,2022-11-08,2002,Abigail Suddarth,"Matching short-sleeved, purple gingham dress with full skirts, light green, gingham trim, and 3D flower designs.   Fronts of dresses.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length,Grandchildren of Ruth Kramer,,,Knee,Shoulder,Purple,Gingham,Yes,"29.5"" and 33"""
quiltdecorativeforabigailsuddarth,quiltdecorativeforabigailsuddarth.jpg,thirtyfive,Quilt,image/jpeg,,2022-11-08,2007,Abigail Suddarth,"Throw quilt featuring three-toned pink border, eight Easter eggs on yellow backgrounds, six hot pink eighth notes and three blue eighth notes on a pale pink background, two baby chicks doing cartwheels on a blue background, six chicks' feet, and three stemmed yellow flowers and stemmed pink flowers on a light green background.  Total size: 23.5"" by 30""",Quilt; Décor; Decorative; Pink; Easter Eggs; Eighth Notes; Music Notes; Chicks; Chickens; Cart Wheels; Chicken Feet; Flowers; Tulips; Yellow; Blue; Green,Abigail Suddarth,,Quilting Cotton,,,Multi,Hexagons,Yes,"23.5"" by 30"""
quilttopabigialsuddarth,quilttopabigialsuddarth.jpg,thirtysix,Quilt,image/jpeg,,2022-11-08,,Abigail Suddarth,"Quilt top consisting of hexagon pieces in shades of light green, light teal, and pink.  Features two white zig-zags in the middle made from five white flowers each made from seven white hexagons with a colorful center.  Unfinished.  Total Size: 62"" by 65""",Quilt Top; Hexagons; Unfinished; Incomplete; Pink; Teal; Green; White; Zig-Zag,Abigail Suddarth,,Quilting Cotton,,,Multi,Hexagons,No,"62"" by 65"""
quilttopmartikramersuddarthfull,quilttopmartikramersuddarthfull.jpg,thirtyseven,Quilt,image/jpeg,,2022-11-08,,Abigail Suddarth,"Quilt top consisting of multi-colored flowers made from seven hexagons with white hexagons separating the flowers.  Consists of sixty-eight flowers and twenty-six partial flowers on the edges.  Unfinished.  Total Size: 56"" by 60""",Quilt Top; Hexagons; Unfinished; Incomplete; Flowers; Multi-Colored,Marti Kramer Suddarth,,Quilting Cotton,,,Multi,Hexagons,No,"56"" by 60"""
quiltopscottsuddarthfull,quiltopscottsuddarthfull.jpg,thirtyeight,Quilt,image/jpeg,,2022-11-08,,Abigail Suddarth,"Quilt top consisting of brown, green, blue, black and multi-colored diamonds each made form nine hexagons with white hexagons separating the diamonds.  Consists twenty-one total diamonds with fifteen partial diamond on the edges.  Unfinished.  Total Size: 73"" by 80.5""",Quilt Top; Hexagons; Unfinished; Incomplete; Diamonds; Brown; Green; Orange; Blue; Black,Scott Suddarth,,Quilting Cotton,,,Multi,Hexagons,No,"73"" by 80.5"""
quilttopscottsuddarthleft,quilttopscottsuddarthleft.jpg,thirtynine,Quilt,image/jpeg,,2022-11-08,,Abigail Suddarth,"Quilt top consisting of brown, green, blue, black and multi-colored diamonds each made form nine hexagons with white hexagons separating the diamonds.  Consists twenty-one total diamonds with fifteen partial diamond on the edges.  Unfinished.  Left side pictured.  Total Size: 73"" by 80.5""",Quilt Top; Hexagons; Unfinished; Incomplete; Diamonds; Brown; Green; Orange; Blue; Black,Scott Suddarth,,Quilting Cotton,,,Multi,Hexagons,No,"73"" by 80.5"""
quilttopscottsuddarthright,quilttopscottsuddarthright.jpg,forty,Quilt,image/jpeg,,2022-11-08,,Abigail Suddarth,"Quilt top consisting of brown, green, blue, black and multi-colored diamonds each made form nine hexagons with white hexagons separating the diamonds.  Consists twenty-one total diamonds with fifteen partial diamond on the edges.  Unfinished.  Right side pictured.  Total Size: 73"" by 80.5""",Quilt Top; Hexagons; Unfinished; Incomplete; Diamonds; Brown; Green; Orange; Blue; Black,Scott Suddarth,,Quilting Cotton,,,Multi,Hexagons,No,"73"" by 80.5"""
reddress,reddress.jpg,fortyone,Child's Dress,image/jpeg,,2022-11-08,1971,Abigail Suddarth,"Long-sleeved, straight, red dress with small, yellow rose pattern, white neckline, and yellow rick-rack trim on sleeves and around neckline.",Children's; Dress; Red; Floral; Roses; Rick-Rack; Short; 1970's,Marti Kramer Suddarth,,,Short,Long,Red,Floral,Yes,"23"""
pinkfloraldress,,fortytwo,Child's Dress,video/mp4,CEUkl4B3Stg,2022-11-08,2001,Abigail Suddarth,"Sleeveless, pink, floral dress with full skirt and attachable, matching purse.",Children's; Sleeveless; Dress; Pink; Floral; Purse; Detachable; Attachable; Full Skirt; Knee-Length; Matching,Abigail Suddarth,,,Knee,Sleeveless,Pink,Floral,Yes,"29"""
purplefloraldress,,fortythree,Child's Dress,video/mp4,3vvne7EysO0,2022-11-08,2002,Abigail Suddarth,"Short-sleeved, purple gingham dress with full skirt, light green, gingham trim, and 3D flower designs.",Children's; Purple; Gingham; Green; Flowers; 3D; Matching; Short-Sleeved; Full Skirt; Matching; Knee-Length,Grandchildren of Ruth Kramer,,,Knee,Shoulder,Purple,Gingham,Yes,"33"""
